STT,Từ vựng gốc,Từ loại,Phiên âm,Ý nghĩa,Câu ví dụ,Dịch câu ví dụ
230,反而,Phó từ,fǎn'ér,"trái lại, ngược lại, nhưng trái lại",外面虽然下着大雨，但他并没有感到难过，反而觉得天气变凉快了。,Bên ngoài tuy mưa to cậu ấy không buồn trái lại thấy mát mẻ hơn.
231,反映,Động từ / Danh từ,fǎnyìng,"phản ánh, báo cáo lại",这份详细的书面报告真实反映了目前外籍留学生在学校生活困难问题。,Bản báo cáo phản ánh chân thực khó khăn sinh hoạt của du học sinh.
232,方,Tính từ / Danh từ,fāng,"phương hướng, vuông, bên, phía",客厅里摆放着一张用实木材料制作的非常结实耐用的方桌子。,Trong phòng khách đặt một chiếc bàn vuông bằng gỗ thật rất bền.
233,方案,Danh từ,fāng'àn,"phương án, kế hoạch, đề án",我们小组设计的新项目推广方案今天下午终于得到了经理的签字认可。,Phương án quảng bá dự án mới nhóm tôi được sếp ký duyệt chiều nay.
234,方针,Danh từ,fāngzhēn,"phương châm, định hướng chính sách",学校制定了全面发展的教育方针，致力于培养更多汉语复合型人才。,Trường lập phương châm bồi dưỡng nhiều nhân tài tiếng Trung toàn diện.
235,放松,Động từ,fàngsōng,"thả lỏng, thư giãn, nới lỏng",周末，我们可以去学校西边的公园散步，放松一下紧张的脑神经神经。,"Cuối tuần ta có thể đi dạo công viên tây trường, thư giãn đầu óc."
236,非,Phó từ,fēi,"không, phi (như 非常, 非正式, 非凡)",他非要去参加今天下午的那场汉语口语辩论比赛，谁也劝不住劝不住。,"Cậu ấy cứ nhất quyết đi biện luận chiều nay, khuyên thế nào cũng chịu."
237,肥,Tính từ,féi,"béo, mập, phì nhiêu, rộng (quần áo)",这件红色的运动外套有一点儿太肥了，穿在我身上显得不合适。,"Chiếc khoác thể thao đỏ này hơi rộng quá, mặc vào trông không hợp."
238,分布,Động từ,fēnbù,"phân bố, rải rác",这种绿色中药植物主要分布在中国西部的雄伟高山大森林里。,Cây thuốc nam xanh này chủ yếu phân bố ở vùng núi miền tây Trung Quốc.
239,分散,Động từ / Tính từ,fēnsàn,"phân tán, tản ra",上课的时候大家要保持专注，千万别被窗外的奇怪响声分散了注意注意力。,"Trong giờ học tập trung, đừng bị tiếng động ngoài cửa làm phân tâm."
240,分手,Động từ,fēnshǒu,"chia tay, chia tay nhau",他们在火车站广场大门口依依不舍地分手，约定明年在北京再见。,"Họ lưu luyến chia tay ở ga tàu, hẹn năm sau gặp lại ở Bắc Kinh."
241,分为,Động từ,fēnwéi,"chia làm, phân thành",这本汉语三级阅读教材一共分为五个核心单元和十节生词生词课。,Sách đọc HSK 3 này chia làm 5 đơn vị bài học chính và 10 tiết từ mới.
242,……分之……,Lượng từ,fēnzhī,phần (dùng biểu diễn phân số/phần trăm),我们班级里大约有三分之二的同学都已经报名了汉语水平测试考试。,Khoảng 2/3 học sinh lớp tôi đã đăng ký kỳ thi năng lực tiếng Trung.
243,纷纷,Phó từ,fēnfēn,"dồn dập, liên tiếp, rộn ràng, tấp nập",下课铃声一响，同学们都纷纷背着自己的书包走出多媒体教室教室。,"Chuông tan học vừa reo, học sinh thi nhau đeo cặp ra khỏi lớp."
244,奋斗,Động từ,fèndòu,"phấn đấu, nỗ lực cố gắng",为了能在北京买一套舒服的屋子，他这几年工作非常刻苦奋斗奋斗。,"Để mua được căn nhà dễ chịu ở Bắc Kinh, mấy năm nay anh ấy phấn đấu."
245,风格,Danh từ,fēnggè,"phong cách, kiểu dáng",新图书馆的设计设计大楼风格现代简洁，环境非常极其安静。,"Phong cách thiết kế thư viện mới rất hiện đại, cực kỳ yên tĩnh."
246,风景,Danh từ,fēngjǐng,"phong cảnh, phong quang",学校西门外面的那座跨江大桥桥风景风景极其优美，适合去散步散步。,"Cảnh cầu vượt sông ngoài cổng tây rất đẹp, hợp đi dạo chơi."
247,风俗,Danh từ,fēngsú,"phong tục, tục lệ",多跟中国同学交流可以帮助外籍留学生更深了解当地风俗文化文化。,Giao lưu bạn Trung Quốc giúp du học sinh hiểu sâu tục lệ bản địa.
248,封闭,Động từ / Tính từ,fēngbì,"phong tỏa, khép kín, đóng kín",由于这周要进行多媒体设备安全升级，实验室目前正处于封闭封闭状态。,"Vì nâng cấp thiết bị, phòng thí nghiệm hiện đang phong tỏa."
249,否则,Liên từ,fǒuzé,"nếu không thì, bằng không",上课的时候要认真把汉语重点句型抄写好，否则回家写作业很痛苦。,"Trong lớp nhớ ghi chép mẫu câu kỹ, nếu không về nhà làm bài rất khổ."
250,夫妇,Danh từ,fūfù,"vợ chồng, phu phụ",那对中年夫妇待人态度非常亲切友好，在留学生中口碑口碑相当好。,"Cặp vợ chồng trung niên đó rất thân thiện, được học sinh mến."
251,夫妻,Danh từ,fūqī,"vợ chồng, phu thê",他们结婚五年了，夫妻感情一直比亲兄弟亲姐妹还深厚，非常幸福幸福。,"Họ kết hôn 5 năm rồi, tình cảm vợ chồng rất sâu sắc hạnh phúc."
252,夫人,Danh từ,fūrén,"phu nhân, bà lớn",今天晚上，李总经理要携夫人一同出席学校举办的新年晚会联欢。,"Tối nay, tổng giám đốc Lý cùng phu nhân tham dự đêm tiệc trường."
253,符号,Danh từ,fúhào,"ký hiệu, biểu tượng",请在答案卷子上面正确填写所要求的各种数学计算符号化学符号。,Xin điền đúng các ký hiệu toán học hóa học theo yêu cầu vào bài.
254,符合,Động từ,fúhé,"phù hợp, khớp với",这篇中文毕业论文的整体结构非常符合学术期刊发表的各项要求要求。,Cấu trúc luận văn tốt nghiệp này rất khớp yêu cầu đăng báo.
255,付出,Động từ,fùchū,"trả giá, bỏ ra, cống hiến, tiêu tốn",只要你肯为汉语学习付出足够的时间和刻苦汗水，就一定有收获。,Chỉ cần chịu khó bỏ thời gian công sức học tiếng Trung sẽ có thành quả.
256,负担,Động từ / Danh từ,fùdān,"gánh nặng, gánh vác",学费和房租的不断上升，极大地加重了留学生的日常日常经济负担负担。,Học phí và tiền phòng tăng tạo thêm gánh nặng kinh tế cho học sinh.
257,附近,Danh từ / Tính từ,fùjìn,"lân cận, phụ cận, gần đây",我们宿舍大楼附近新开了一家中国餐馆，菜肴美味美味价格很便宜。,"Gần ký túc xá mới mở quán ăn Trung Quốc, đồ ngon giá hạt dẻ."
258,复制,Động từ,fùzhì,"sao chép, nhân bản, copy",请帮我把这个包含很多汉语资料的电子文件复制到我的优盘里。,Giúp tôi copy file tài liệu tiếng Trung này vào USB với.
259,改善,Động từ,gǎishàn,"cải thiện, làm tốt hơn",学校最近采取了多项安全改进措施，极大改善了食堂食堂卫生环境卫生。,Trường áp dụng nhiều biện pháp cải thiện rõ rệt vệ sinh nhà ăn.
260,改正,Động từ,gǎizhèng,"sửa đổi, sửa chữa (sai lầm/khuyết điểm)",写错汉字拼音不要紧，只要能在李老师指出后主动及时改正就行。,"Viết sai bính âm không sao, cô Lý chỉ ra biết sửa kịp thời là được."
261,盖,Động từ / Danh từ,gài,"đậy, che, xây dựng, nắp",请把这杯新冲的热咖啡的塑料盖盖好，避免走路时洒出来洒出来。,Hãy đậy nắp cốc cà phê nóng mới pha tránh bị trào ra khi đi.
262,概括,Động từ / Tính từ,gāikuò,"khái quát, tóm tắt, tóm gọn",请用极其简洁的几句话来认真概括一下这篇中文故事的核心大意核心大意。,Hãy tóm tắt ngắn gọn đại ý của câu chuyện tiếng Trung này.
263,感兴趣,Động từ,gǎnxìngqù,"cảm thấy hứng thú, thích thú",我对中国传统太极拳和传统京剧表演艺术非常非常感兴趣感兴趣。,Tôi rất hứng thú với thái cực quyền và Kinh kịch Trung Quốc.
264,高潮,Danh từ,gāocháo,"cao trào, đỉnh điểm, đoạn hay nhất",当这位优秀的中文歌手唱到歌曲最核心的高潮部分时，全场热烈掌声。,"Khi ca sĩ hát đến đoạn cao trào, cả khán đài vỗ tay nồng nhiệt."
265,高价,Danh từ,gāojià,"giá cao, giá đắt",由于这种新鲜的绿茶产量极其稀少，商家在市场上面高价高价出售。,"Do chè xanh tươi sản lượng ít, thương gia bán giá rất cao trên thị trường."
266,高尚,Tính từ,gāoshàng,"cao thượng, thanh cao, lịch sự",李老师对待每个留学生都充满了爱心，拥有一颗非常高尚的精神。,"Cô Lý đối với du học sinh đầy lòng yêu thương, có tấm lòng cao thượng."
267,高铁,Danh từ,gāotiě,tàu cao tốc,坐高铁去上海旅游非常极其便捷舒服，速度每小时达三百公里公里。,"Đi tàu cao tốc đi chơi Thượng Hải rất tiện, tốc độ 300km/h."
268,格外,Phó từ,géwài,"đặc biệt, hết sức, vô cùng",今天北京雨过天晴，天空显得格外湛蓝美丽，空气也超级新鲜新鲜。,"Bắc Kinh mưa xong trời quang, trời xanh ngắt không khí trong lành."
269,隔,Động từ,gé,"ngăn cách, cách một khoảng (thời gian/không gian)",我们宿舍大楼每隔两层都设立了一个非常干净舒服的公用卫生间卫生间。,Ký túc xá cứ cách 2 tầng lại có một nhà vệ sinh chung rất sạch.
270,隔开,Động từ,gékāi,"ngăn cách ra, chia tách ra",我们用一个大大的木头书架把卧室和自习的地方整齐地隔开隔开来。,Tụi tôi dùng kệ sách gỗ lớn ngăn cách phòng ngủ và góc học tập.
271,个别,Tính từ,gèbié,"cá biệt, riêng lẻ, số ít, đơn lẻ",老师刚才讲的那种汉语词汇用法，其实只是个别的语言现象现象。,Cách dùng từ vựng cô vừa giảng thực ra chỉ là hiện tượng cá biệt.
272,个体,Danh từ,gètǐ,"cá thể, cá nhân, kinh doanh hộ cá thể",在现代社会中，每个独立的个体都需要学会与他人紧密合作配合。,"Trong xã hội hiện đại, mỗi cá thể độc lập cần học cách hợp tác."
273,各个,Đại từ / Phó từ,gègè,"các, mỗi một, mọi, mọi phương diện",我们学校的各个教学大楼里面都安装了先进的自动化空调设备空调设备。,Mọi tòa nhà giảng đường trường ta đều lắp điều hòa tự động tiên tiến.
274,根,Danh từ / Lượng từ,gēn,"rễ, gốc, cái (lượng từ cho sợi/gậy/cỏ/tóc)",这根塑料吸管是红色的，请帮我拿去扔掉，我要用那根绿色的绿色的。,"Chiếc ống hút nhựa này màu đỏ, vứt giúp tôi tôi muốn dùng ống xanh."
275,根据,Giới từ / Động từ / Danh từ,gēnjù,"căn cứ vào, dựa vào, theo",请根据课文大意，认真判断这几个关于汉语语法的句子句子的对错。,Hãy dựa vào đại ý bài học phán đoán đúng sai các câu ngữ pháp này.
276,工程,Danh từ,gōngchèng,"công trình, dự án xây dựng",我们学校的新图书馆大楼工程预计下个月底就能全部完工验收了。,Công trình thư viện mới của trường dự kiến cuối tháng tới hoàn thành.
277,公元,Danh từ,gōngyuán,công nguyên,长城是一座始建于公元前数世纪、世界上最宏伟古老古老的地标了。,Trường Thành là công trình xây từ vài thế kỷ trước Công nguyên.
278,供应,Động từ,gōngyìng,"cung cấp, cung ứng",这家超市每天早晨都会准时供应新鲜的牛奶、鸡蛋和蔬菜蔬菜。,Siêu thị này mỗi sáng đều cung cấp sữa trứng rau tươi đúng giờ.
279,共,Phó từ / Động từ,gòng,"cùng nhau, tổng cộng",这封汉语报告一共有十页，包含了我们小组的全部数据分析分析。,Bản báo cáo tiếng Trung này tổng cộng có 10 trang gồm số liệu phân tích.
280,构成,Động từ,gòuchéng,"cấu thành, tạo thành, làm nên",水和各种丰富的矿物质元素共同构成了我们人体生存所需的核心核心。,Nước và các khoáng chất cùng cấu thành nên chất cần thiết cơ thể.
281,构造,Danh từ,gòuzào,"cấu tạo, kết cấu, cấu trúc",这台高科技电脑机器设备的内部构造非常复杂，操作时要非常小心。,Cấu tạo trong của máy tính công nghệ cao rất phức tạp cẩn thận khi dùng.
282,购买,Động từ,gòumǎi,"mua, sắm, tậu",周末，许多留学生都会结伴去市中心的大商场购买生活用品日常用品。,Cuối tuần nhiều du học sinh cùng đi siêu thị trung tâm sắm đồ dùng.
283,购物,Động từ,gòuwù,"mua sắm, shopping",现在人们普遍喜欢在网络平台上进行购物，因为方便且价格很便宜。,Giờ người ta chuộng mua sắm qua mạng vì tiện lợi và giá rẻ.
284,骨头,Danh từ,gǔtou,"xương, khúc xương",那只活泼可爱的小白狗正趴在宿舍门口高兴地啃着一根大骨头骨头。,Chú chó trắng đáng yêu đang nằm gặm khúc xương lớn ngoài cửa phòng.
285,固定,Tính từ / Động từ,gùdìng,"cố định, không đổi",我们在学习汉语口语时，千万不能只死记硬背固定的对话对话模式。,Khi học khẩu ngữ ta tuyệt đối không được học vẹt theo mẫu cố định.
286,瓜,Danh từ,guā,"quả dưa (như 西瓜, 哈密瓜, 黄瓜)",夏天的晚上吃一盘冰镇西瓜感觉非常舒服解暑，味道超级甜美甜美。,Tối hè ăn đĩa dưa hấu lạnh thấy rất mát giải nhiệt vị ngọt lịm.
287,怪,Tính từ / Phó từ / Động từ,guài,"kỳ lạ, trách móc, trách, rất",这件事都怪我太粗心大意了，没核对好数据，给你造成了麻烦麻烦。,Việc này trách tôi cẩu thả không check kỹ số liệu gây rắc rối cho bạn.
288,关,Động từ / Danh từ,guān,"đóng, tắt, quan hệ, quan ải",离开多媒体教室前，请记得一定要把所有的电脑设备和电灯关掉关掉。,Trước khi rời phòng học nhớ tắt hết thiết bị máy tính và đèn điện.
289,关闭,Động từ,guānbì,"đóng cửa, tắt máy, đình chỉ, đóng",由于需要进行多媒体系统升级升级，图书馆电脑阅览室目前关闭了关闭了。,"Vì nâng cấp hệ thống đa phương tiện, phòng máy thư viện đang đóng."
290,关于,Giới từ,guānyú,"về, đối với (chỉ đối tượng đề cập)",这是一本专门关于如何快速学好汉字拼音和笔顺的中文参考书书。,Đây là sách tham khảo tiếng Trung chuyên về cách học nhanh bính âm.
291,官,Danh từ,guān,"quan, chức quan, bộ phận giác quan",那个看门的大爷曾经是一个政府的低级官员，退休后在学校打工。,"Bác bảo vệ cổng từng làm quan công chức nhỏ, hưu trí về trường làm."
292,官方,Danh từ,guānfāng,"chính thức, quan phương, phía chính phủ",请密切关注学校官方网站上公布的关于下学期奖学金的正式通知正式通知。,Hãy chú ý thông báo chính thức học bổng kỳ tới đăng trên web trường.
293,光临,Động từ,guānglín,"quang lâm, đến dự, ghé thăm, chào mừng",欢迎光临我们小吃店，今天新鲜的豆腐脑和麻婆豆腐打折优惠打折优惠。,"Chào mừng ghé quán ăn, hôm nay tào phớ và đậu phụ Tứ Xuyên giảm giá."
294,光盘,Danh từ,guāngpán,"đĩa CD, đĩa DVD, đĩa quang",这本汉语口语教材附带了一张光盘，里面录制了生词拼音录音拼音录音。,Giáo trình nói này kèm đĩa CD ghi âm phát âm từ mới.
295,逛,Động từ,guàng,"đi dạo, đi chơi, lượn lờ shop",周末放假，我和班里的同学一起去逛了逛学校附近的菜市场菜市场。,"Cuối tuần nghỉ, tôi cùng các bạn đi lượn chợ rau gần trường."
296,归,Động từ,guī,"trở về, quay về, thuộc về, gom về",这本红色的汉语词典用完后，请记得一定要让它归回到原处书架书架。,Cuốn từ điển đỏ này dùng xong nhớ xếp về đúng chỗ trên kệ sách.
297,规律,Danh từ,guīlǜ,"quy luật, nề nếp sinh hoạt",保持每天按时吃饭按时睡觉的规律生活有助于维持身体健康健康。,Giữ nề nếp sinh hoạt ăn ngủ đúng giờ rất có lợi cho sức khỏe.
298,规模,Danh từ,guīmó,quy mô,我们学校今年招收的外籍留学生规模又扩大了大约一成左右左右。,Quy mô tuyển du học sinh của trường năm nay tăng tầm 10%.
299,规则,Danh từ / Tính từ,guīzé,"quy tắc, luật lệ, ngay ngắn gọn gàng",我们在进行汉语口语辩论比赛时，一定要严格遵守比赛规则规则。,"Khi tham gia biện luận nói, ta phải tuân thủ nghiêm quy tắc cuộc thi."
300,果实,Danh từ,guǒshí,"quả, trái cây, thành quả",秋天到了，果园里绿油油的大树上挂满了沉甸甸的红色果实果实。,"Mùa thu đến, vườn cây sai trĩu những trái đỏ mọng trên cành xanh."
301,过分,Động từ / Tính từ,guòfèn,"quá đáng, quá mức",他对那个犯了小错误的留学生的批评显然是有一些过分了。,Lời phê bình của cậu ấy với học sinh phạm lỗi nhỏ kia hơi quá đáng.
302,海水,Danh từ,hǎishuǐ,nước biển,站在辽阔的沙滩上，远远望去，蓝湛湛的海水在阳光下闪光。,"Đứng trên bãi cát rộng nhìn xa, nước biển xanh ngắt lấp lánh."
303,海鲜,Danh từ,hǎixiān,"hải sản, đồ biển",去中国南部沿海城市旅游旅游时，我们每天都去吃新鲜的海鲜。,"Khi đi du lịch thành phố biển miền nam Trung Quốc, tụi tôi ăn hải sản."
304,含,Động từ,hán,"ngậm, chứa đựng, bao gồm",很多汉字都包含着非常有趣的文化故事，很值得大家去探究探究。,"Nhiều chữ Hán chứa câu chuyện văn hóa rất hay, đáng tìm hiểu."
305,含量,Danh từ,hánliàng,hàm lượng,多喝绿茶对身体很好，因为因为茶叶里的茶多酚含量特别丰富。,Uống trà xanh rất tốt vì hàm lượng polyphenol trong lá trà phong phú.
306,含义,Danh từ,hányì,"hàm ý, ý nghĩa, nghĩa ngụ ý",请你在本子上写出这几个常用汉语近义词的具体含义区别。,Xin viết ra sự khác biệt ý nghĩa cụ thể của mấy từ gần nghĩa này.
307,含有,Động từ,hányǒu,"chứa đựng, có chứa (chất/thành phần)",这种新鲜的有机蔬菜里面含有大量人体不可或缺的维生素维生素。,Loại rau hữu cơ tươi này có chứa lượng lớn vitamin cần thiết.
308,寒假,Danh từ,hánjià,kỳ nghỉ đông,今年寒假，我打算坐高铁去哈尔滨开心地体验体验冰雪世界。,Nghỉ đông năm nay tôi định đi tàu cao tốc ra Cáp Nhĩ Tân chơi.
309,寒冷,Tính từ,hánlěng,"lạnh giá, buốt giá, rét căm căm",北京的严冬天气寒冷异常，出门前一定要戴好厚手套和围巾。,"Đông Bắc Kinh lạnh buốt giá, ra ngoài nhớ đeo găng tay dày khăn len."
310,行业,Danh từ,hángyè,"ngành nghề, lĩnh vực kinh doanh, ngành",随着电脑技术快速普及，互联网行业里的就业机会也越来越核心。,Công nghệ phổ biến giúp ngành Internet có nhiều cơ hội việc làm.
311,航班,Danh từ,hángbān,chuyến bay,由于受大雾天气严重影响，我们今天飞往上海的航班被迫取消了。,"Do sương mù dày đặc ảnh hưởng, chuyến bay đi Thượng Hải bị hủy."
312,航空,Động từ / Danh từ,hángkōng,"hàng không, vận tải hàng không",这家新建的航空公司主要经营中国西部省份之间的客运业务业务。,Hãng hàng không mới lập chủ yếu chạy khách các tỉnh miền tây.
313,毫米,Lượng từ,háomǐ,milimet (đơn vị đo chiều dài),请用你手中的那把塑料尺子仔细测量一下这枚硬币的厚度毫米。,Dùng thước kẻ nhựa đo kỹ độ dày đồng xu này xem bao nhiêu mm.
314,毫升,Lượng từ,háoshēng,mililit (đơn vị đo thể tích chất lỏng),每天早晨，妹妹都习惯在客厅喝一杯大约两百毫升的鲜牛奶。,Mỗi sáng em gái đều quen uống cốc sữa tươi tầm 200 ml.
315,好友,Danh từ,hǎoyǒu,"bạn tốt, bạn thân",李华是我的大学好友，我们在学习和日常生活中总是互相配合。,"Lý Hoa là bạn thân đại học của tôi, tụi tôi luôn giúp đỡ nhau."
316,号码,Danh từ,hàomǎ,"số, mã số, số điện thoại",请在这张表格的第三栏里填写好你的常用手机电话号码号码。,Xin hãy điền số điện thoại di động thường dùng vào cột 3 của biểu.
317,好,Động từ / Tính từ,hào,"thích, ham, hiếu (đọc là hào) / tốt",他非常好奇地向李老师询问了关于中国传统京剧的许多细节故事。,Cậu ấy tò mò hỏi cô Lý rất nhiều câu chuyện chi tiết về Kinh kịch.
318,合同,Danh từ,hétong,hợp đồng,经过三天的谈判，双方终于就这个电脑项目正式签了合同协议。,"Qua 3 ngày đàm phán, hai bên đã chính thức ký kết hợp đồng dự án."
319,黑暗,Tính từ,hēi'àn,"tối tăm, u ám, tối đen",停电了，整个多媒体多媒体教室瞬间陷入了一片令人害怕的黑暗。,"Mất điện, cả phòng học đa phương tiện chìm ngay vào bóng tối đáng sợ."
320,红包,Danh từ,hóngbāo,"bao lì xì, phong bì đỏ mừng tiền",每逢春节前后，长辈们都会给小孩子们送去红红包表达节日祝愿。,"Mỗi dịp Tết, người lớn đều lì xì bao đỏ cho trẻ em chúc Tết."
321,后头,Danh từ,hòutou,"phía sau, đằng sau, mặt sau",请大家朝后头看，后边墙上贴着的那张海报是新图书馆的图纸。,"Mời mọi người nhìn đằng sau, tấm áp phích dán trên tường là bản vẽ."
322,厚,Tính từ,hòu,"dày, sâu đậm (tình cảm)",冬天风大天气冷，出门前记得一定要加一件厚厚的外套上衣。,"Đông lạnh gió to, ra ngoài nhớ mặc thêm áo khoác dày."
323,呼吸,Động từ,hūxī,"hít thở, hô hấp",清晨的操场空气格外新鲜湛蓝，适合我们去那里慢跑深呼吸。,"Không khí sân vận động sáng sớm trong lành lắm, hợp chạy bộ hít thở."
324,忽视,Động từ,hūshì,"xem nhẹ, bỏ qua, lơ là",在写汉语报告时，我们绝对不能忽视任何一个小小的语法低级错误。,"Khi viết báo cáo tiếng Trung, tuyệt đối không được lơ là lỗi nhỏ."
325,户,Danh từ / Lượng từ,hù,hộ (lượng từ gia đình/nhà dân),政府计划在年底前帮助这片贫困农村的一百户农民改善住房条件。,Chính phủ định giúp 100 hộ nông dân cải thiện nhà ở trước cuối năm.
326,护士,Danh từ,hùshi,"y tá, điều dưỡng viên",那位穿着白衣服的护士对生病的留学生照顾得非常亲切友好友好。,Cô y tá mặc đồ trắng chăm sóc học sinh ốm rất ân cần chu đáo.
327,花,Tính từ / Động từ,huā,"hoa, nhiều màu, sặc sỡ, tiêu (tiền/thời gian)",为了写好这篇汉语毕业论文，他整整花了三个月时间在图书馆里。,"Để viết tốt luận văn tốt nghiệp, cậu ấy mất tròn 3 tháng ở thư viện."
328,划,Động từ,huá,"chèo (thuyền), rạch, xát, gạt",周末下午，很多同学都喜欢去学校湖里划小船放松心情心情。,Chiều cuối tuần nhiều bạn thích chèo thuyền trên hồ trường thư giãn.
329,划,Động từ,huà,"vạch ra, phân chia, thiết kế",部门经理今天下午重新划分划分了我们小组成员的具体任务分配。,Trưởng bộ phận chiều nay phân chia lại nhiệm vụ cụ thể của nhóm.
330,怀念,Động từ,huáiniàn,"hoài niệm, nhớ nhung, tưởng nhớ",离开北京留学一年多了，我心里依然常常十分怀念河内的亲人们。,"Rời Bắc Kinh hơn 1 năm rồi, lòng tôi vẫn rất nhớ người thân Hà Nội."
331,怀疑,Động từ,huáiyí,"hoài nghi, nghi ngờ",我们不能因为一时的误会，就随便怀疑中国同学的诚信和友好。,Không nên vì hiểu lầm nhất thời mà tùy tiện nghi ngờ lòng tốt của bạn.
332,缓解,Động từ,huǎnjiě,"làm dịu, xoa dịu, giảm bớt (áp lực/đau)",听一些轻松欢快的中文歌曲有助于缓解我们紧张的学习生活压力。,Nghe nhạc tiếng Trung vui vẻ giúp xoa dịu áp lực học tập căng thẳng.
333,黄瓜,Danh từ,huángguā,"dưa chuột, dưa leo",夏天晚上，吃一盘清爽可口的黄瓜沙拉感觉特别舒服解暑解渴。,Tối mùa hè ăn đĩa salad dưa leo thấy rất mát giải nhiệt.
334,黄金,Danh từ,huángjīn,"vàng, thời gian vàng, thời kỳ hoàng kim",清晨是记忆汉语生词的黄金时间，大家一定要充分利用好它它。,"Sáng sớm là giờ vàng để nhớ từ mới tiếng Trung, phải tận dụng tốt."
335,回复,Động từ,huífù,"trả lời, hồi âm, hồi phục",李老师，我已经发邮件回复了您关于修改汉语报告的要求要求了。,"Cô Lý ơi, em đã gửi mail hồi âm yêu cầu sửa báo cáo của cô rồi ạ."
336,汇,Động từ,huì,"hội tụ, gửi tiền, tập hợp",爸爸今天上午去银行给我汇汇了一笔下学期的学费和房租房租。,Sáng nay bố ra ngân hàng gửi cho tôi khoản học phí phòng kỳ tới.
337,汇报,Động từ / Danh từ,huìbào,"báo cáo, tổng kết công việc",下周一，我们需要向项目经理详细汇报汇报新项目的具体进展。,Thứ hai tới ta cần báo cáo chi tiết tiến độ dự án mới cho sếp.
338,汇率,Danh từ,huìlǜ,tỷ giá hối đoái,由于国际市场波动，最近人民币兑换越南盾的汇率发生了一些一些改变。,"Do biến động thị trường, tỷ giá RMB đổi VND gần đây có đổi chút."
339,婚礼,Danh từ,hūnlǐ,"hôn lễ, đám cưới",上周末，我们全班同学一起去参加了李华大哥的非常热闹的婚礼。,Cuối tuần trước cả lớp đi dự đám cưới rất nhộn nhịp của anh cả Lý Hoa.
340,火,Tính từ / Danh từ,huǒ,"lửa, hot, nổi tiếng, thịnh vượng",学校门口那家新开的中国小吃店最近生意极火，每天都排长队。,"Quán ăn Trung Quốc mới mở cổng trường dạo này rất hot, xếp hàng dài."
341,伙,Lượng từ,huǒ,"nhóm, đám (lượng từ chỉ người)",操场西边聚集着一伙活泼可爱的男孩子，正在开心地踢足球踢足球。,Phía tây sân có một nhóm con trai đáng yêu đang đá bóng vui vẻ.
342,伙伴,Danh từ,huǒbàn,"bạn đồng hành, đối tác, bạn bè",留学生们在学校里结交了很多中国伙伴，大家互相帮助学汉语。,Du học sinh kết giao nhiều bạn đồng hành Trung Quốc học cùng nhau.
343,或许,Phó từ,huòxǔ,"có lẽ, hoặc giả, có thể",要是你明天下午去图书馆找找，或许还能借到那本汉语词典参考书。,"Nếu mai bạn đi thư viện tìm, có lẽ vẫn mượn được cuốn từ điển đó."
344,货,Danh từ,huò,hàng hóa,超市的货架上整整齐齐地摆满了各种新鲜蔬菜和绿色食品有机食品。,Trên kệ siêu thị xếp đầy hàng hóa rau tươi thực phẩm hữu cơ sạch.
345,获,Động từ,huò,"thu được, giành được, đạt giải (như 获得, 获奖)",他在昨天的汉语演讲演讲大赛中荣获第一名金牌，为班级争光争光。,Cậu ấy đoạt giải vàng cuộc thi nói tiếng Trung hôm qua mang vinh dự về.
346,获得,Động từ,huòdé,"đạt được, giành được, thu nhận",通过刻苦拼搏，他在这次汉语水平测试测试中获得了优异的成绩成绩。,"Qua nỗ lực, cậu ấy giành điểm thi xuất sắc ở kỳ thi tiếng Trung."
347,获奖,Động từ,huòjiǎng,"đạt giải thưởng, nhận giải",李老师在会议室正式宣布了这次汉语话剧比赛的获奖获奖名单。,Cô Lý tuyên bố chính thức danh sách đạt giải cuộc thi kịch nói ở phòng họp.
348,获取,Động từ,huòqǔ,"lấy được, đạt được, thu thập (thông tin)",在这个互联网时代，人们能够极其便捷地获取获取各种新闻资讯。,"Thời đại mạng này, người ta thu thập tin tức cực kỳ dễ dàng."
349,几乎,Phó từ,jīhū,"hầu như, gần như",他每天都泡在安静的图书馆里看书，几乎快要把那里的汉语书看完完了。,"Cậu ấy đọc sách thư viện suốt, gần như đọc hết sách tiếng Trung rồi."
350,机构,Danh từ,jīgòu,"cơ cấu, tổ chức, cơ quan, đơn vị",我们学校是一所专门招收外国留学生的著名汉语培训机构培训机构。,Trường ta là cơ sở đào tạo tiếng Trung nổi tiếng tuyển du học sinh.
351,机遇,Danh từ,jīyù,"cơ hội, thời cơ, cơ duyên",我们要敏锐抓住每一个能去中国北京大学留学深造的难得机遇机遇。,Ta phải nắm lấy mỗi cơ hội quý báu đi du học sâu ở Bắc Đại.
352,积累,Động từ,jīlěi,"tích lũy, gom góp",在日常生活中多跟中国朋友聊天能快速积累汉语口语日常生词。,Giao tiếp nhiều với bạn Trung giúp tích lũy nhanh từ nói hàng ngày.
353,激动,Tính từ / Động từ,jīdòng,"kích động, xúc động, hào hứng",听到自己顺利拿到去北京留学的政府奖学金，他心情极其激动激动。,"Nghe tin giành học bổng đi Bắc Kinh, lòng cậu ấy vô cùng xúc động."
354,激烈,Tính từ,jīliè,"kịch liệt, gay gắt, dữ dội",在昨天的班级汉语口语辩论比赛中，双方的竞争非常激烈激烈。,"Trong trận biện luận tiếng Trung hôm qua, hai bên tranh tài rất gay gắt."
